%time,field.header.seq,field.header.stamp,field.header.frame_id,field.utc_time,field.latitude,field.longitude,field.depth,field.altitude,field.roll,field.pitch,field.heading,field.fwd_velocity,field.stbd_velocity,field.dwn_velocity,field.fwd_ang_rate,field.stbd_ang_rate,field.dwn_ang_rate,field.sound_velocity,field.temperature,field.position_quality,field.heading_quality,field.velocity_quality,field.error,field.mode,field.heading_valid,field.altitude_valid,field.velocity_valid,field.depth_valid,field.sound_velocity_valid,field.temperature_valid,field.position_valid,field.utc_time_valid
1652282687746677747,1777,1652282687746677747,world,1652282687.737535,51.24576337169856,-2.423146851360798,13.054,0.0,-1.3034999999999999,-3.377,207.9825,-0.029,-0.01,-0.012,0.0,-0.27499999999999997,0.011,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,1,1,1,1
1652282687766678358,1778,1652282687766678358,world,1652282687.757534,51.24576337169856,-2.423146851360798,13.053,0.0,-1.2925,-3.3825,207.9825,-0.028,-0.011,-0.012,0.6819999999999999,0.264,-0.088,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687786676785,1779,1652282687786676785,world,1652282687.777535,51.24576337169856,-2.423146851360798,13.053,0.0,-1.2925,-3.377,207.9825,-0.028,-0.007,-0.012,0.0,0.308,-0.09899999999999999,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687806674181,1780,1652282687806674181,world,1652282687.797534,51.24576337169856,-2.423146851360798,13.053,0.0,-1.3034999999999999,-3.3825,207.9825,-0.029,-0.008,-0.012,-0.264,-0.374,-0.011,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687826677620,1781,1652282687826677620,world,1652282687.817535,51.24576337169856,-2.423146851360798,13.053,0.0,-1.2979999999999998,-3.388,207.988,-0.029,-0.012,-0.013000000000000001,0.737,-0.23099999999999998,0.011,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687851677284,1782,1652282687851677284,world,1652282687.837533,51.24576337169856,-2.423146851360798,13.052,0.0,-1.2925,-3.3825,207.9825,-0.028,-0.009000000000000001,-0.013000000000000001,-0.45099999999999996,0.187,0.088,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687866681101,1783,1652282687866681101,world,1652282687.857535,51.24576337169856,-2.423146767541766,13.052,0.0,-1.2979999999999998,-3.377,207.9825,-0.029,-0.007,-0.012,-0.6599999999999999,-0.09899999999999999,0.066,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687916677022,1784,1652282687916677022,world,1652282687.877534,51.245763413608074,-2.423146767541766,13.052,0.0,-1.2979999999999998,-3.388,207.9825,-0.029,-0.01,-0.013000000000000001,-0.044,-0.286,0.011,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687921682862,1785,1652282687921682862,world,1652282687.8975348,51.245763413608074,-2.423146767541766,13.051,0.0,-1.287,-3.388,207.9825,-0.028,-0.011,-0.014,0.9019999999999999,0.495,-0.066,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282687926674009,1786,1652282687926674009,world,1652282687.917533,51.245763413608074,-2.423146767541766,13.051,0.0,-1.2925,-3.377,207.9825,-0.028,-0.008,-0.013000000000000001,0.05499999999999999,0.429,-0.09899999999999999,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
